,0
0,!
1,""""
2,(
3,)
4,","
5,-
6,--
7,.
8,/
9,00
10,03
11,1
12,1.3
13,1.5
14,10
15,10.3
16,100
17,104
18,105
19,1060m
20,108
21,11
22,110
23,11008
24,1126.1129
25,1127.1140
26,1132
27,1132.1133
28,1133A
29,1136.1141
30,1137.1142
31,1139
32,1145
33,12
34,1200
35,124.6
36,1250
37,128
38,13
39,13.6
40,14
41,15
42,150
43,1542
44,157
45,16
46,165
47,168
48,16k
49,17
50,172
51,174.2
52,1747
53,176.4
54,178.2
55,178.3
56,18
57,180
58,182.5
59,1888
60,19
61,1914
62,1915
63,1921
64,193
65,1931
66,1942
67,1949
68,1950
69,1951
70,1960
71,1963
72,1969
73,1970
74,1971
75,1979
76,1985
77,1986
78,1996
79,2
80,2.1
81,2.3
82,2.5
83,2.85
84,20
85,2001
86,2002
87,2003
88,2004
89,2005
90,2006
91,2007
92,2008
93,201
94,2012
95,2014
96,2015
97,2016
98,2017
99,21
100,219.5
101,22.7
102,225.5
103,228
104,229
105,23.5
106,24
107,244K
108,25
109,2500
110,251.5
111,275
112,275.5
113,29
114,3
115,3.1
116,3.6
117,3.99
118,30
119,300
120,303
121,31
122,31.5
123,32
124,33
125,35
126,360
127,38
128,39
129,3D
130,4
131,4.1
132,4.2
133,4.5
134,4.8
135,40
136,400
137,41K
138,42
139,43
140,43.5
141,45
142,450
143,460
144,495
145,5
146,5.1
147,5.75
148,50
149,500
150,51
151,52
152,56
153,565m
154,59km
155,6
156,6.2
157,60
158,601
159,614
160,63
161,65
162,650
163,66
164,68
165,7
166,70
167,70.5
168,750
169,77
170,8
171,80
172,800
173,81
174,8230934
175,862
176,8705881
177,8781022
178,8791350
179,8875405
180,9
181,9.5
182,90
183,900
184,910
185,915
186,92
187,:
188,AMIS
189,BBS
190,BIG
191,Brayaw
192,Ciwdiyan
193,DIY
194,FORMOSA
195,IG
196,IlhaFormosa
197,K
198,KOM
199,LDT103
200,LOVE
201,LucyCoffee
202,Pizza
203,QQ
204,SPA
205,SUP
206,Sgadan
207,Skadang
208,Swiji
209,T
210,T2
211,VR
212,Walami
213,Xoxos
214,bin
215,feng
216,googlemap
217,gov
218,home
219,http
220,k
221,m
222,php
223,tw
224,www
225,x
226,~
227,°
228,–
229,—
230,‧
231,→
232,─
233,●
234,、
235,。
236,《
237,》
238,「
239,」
240,『
241,』
242,【
243,】
244,ㄧ
245,一
246,一一
247,一下
248,一人
249,一件
250,一份
251,一位
252,一來
253,一個
254,一個則
255,一側
256,一入
257,一共
258,一出
259,一分
260,一切
261,一到
262,一動
263,一同
264,一周
265,一圈
266,一場
267,一塊
268,一大
269,一天
270,一季
271,一定
272,一家
273,一小
274,一層
275,一帶
276,一幅
277,一幅幅
278,一年
279,一年四季
280,一座
281,一心
282,一排排
283,一探
284,一收
285,一整天
286,一整片
287,一斷
288,一方面
289,一旁
290,一日
291,一晚
292,一景
293,一望
294,一本
295,一朵
296,一杯
297,一株株
298,一條
299,一條長
300,一棟
301,一棧
302,一棵
303,一樣
304,一次
305,一步
306,一段
307,一海蝕
308,一清二楚
309,一片
310,一片汪洋
311,一片片
312,一瓦
313,一生
314,一番
315,一直
316,一眼
317,一瞬
318,一磚
319,一種
320,一窺大禮
321,一窺砂
322,一站
323,一端
324,一絕
325,一絲絲
326,一線
327,一群
328,一般
329,一艘
330,一處
331,一號橋
332,一見
333,一覽
334,一覽花東
335,一貼
336,一走
337,一起
338,一趟
339,一路
340,一路上
341,一身
342,一連串
343,一遊
344,一道
345,一邊
346,一部
347,一長
348,一開始
349,一間
350,一靜
351,一面
352,一頁
353,一頓
354,一館
355,一體
356,一點點
357,七七
358,七星
359,七賢路
360,七里香
361,三
362,三五
363,三個
364,三層
365,三座
366,三生
367,三百
368,三等
369,三至
370,三角
371,三間
372,三顆
373,上
374,上來
375,上共設
376,上制
377,上則
378,上升
379,上午
380,上半天
381,上去
382,上坡
383,上層
384,上山
385,上岸
386,上方
387,上游
388,上湛
389,上溯
390,上演
391,上解
392,上路
393,上載
394,上長
395,上陣
396,上難
397,上靜謐
398,上面
399,上頭
400,下
401,下來
402,下切
403,下午
404,下午茶
405,下去
406,下坡
407,下山
408,下方
409,下水
410,下海
411,下游
412,下疊
413,下車
414,下面
415,不
416,不久
417,不了
418,不亞
419,不亦樂乎
420,不佳
421,不停
422,不僅
423,不僅僅
424,不再
425,不到
426,不勝枚舉
427,不厭
428,不可
429,不同
430,不喜歡
431,不多
432,不大
433,不好
434,不妨
435,不定
436,不定期
437,不宜
438,不少
439,不得
440,不必
441,不折不扣
442,不整
443,不斷
444,不易
445,不是
446,不時
447,不會
448,不期而遇
449,不止
450,不消
451,不用
452,不由
453,不知
454,不禁
455,不算
456,不管
457,不絕
458,不要
459,不見影
460,不訪
461,不論
462,不識
463,不費力
464,不足
465,不過
466,不遠
467,不遠處
468,不適
469,不錯
470,不長
471,不開放
472,不需
473,不須
474,不高
475,且
476,且易
477,世人
478,世俗
479,世外桃源
480,世村
481,世界
482,世界各地
483,丙
484,丙線
485,丟棄
486,並
487,並不困
488,並不臨海
489,並修築
490,並園區
491,並在
492,並帶
493,並推動
494,並有
495,並珍
496,並用
497,並立
498,並結合
499,並著
500,並規劃
501,並觀
502,並設
503,並認識
504,並非
505,並體
506,並點
507,中
508,中刮傷
509,中區
510,中區民眾
511,中午
512,中國
513,中央
514,中山堂
515,中山路
516,中心
517,中心站
518,中搖曳
519,中旬
520,中時
521,中暑
522,中橫
523,中正
524,中正路
525,中段
526,中沉
527,中繼
528,中繼站
529,中華路
530,中西
531,中路
532,中途
533,中間
534,中難
535,中顯
536,中風景
537,中飽覽
538,串聯
539,串起
540,串連綿延
541,串連起
542,丸
543,丹
544,主
545,主人
546,主任
547,主場館
548,主導
549,主建築
550,主打
551,主持人
552,主步
553,主要
554,主角
555,主軸
556,主題
557,主體
558,之
559,之一
560,之下
561,之中
562,之久
563,之井
564,之分
565,之前
566,之名
567,之外
568,之夜
569,之導
570,之後沿
571,之後葉子
572,之情
573,之意
574,之旅
575,之時
576,之棧
577,之歌
578,之母
579,之生產
580,之稱
581,之美
582,之處
583,之虞視
584,之鏡
585,之鐵道
586,之間
587,之際
588,之餘
589,之餘前
590,乘
591,乘涼
592,乘累
593,乘著
594,乘車
595,乘載
596,九丙線
597,九線
598,九芎
599,也
600,乳源
601,乳牛
602,乾
603,乾淨
604,乾溪溝
605,了
606,了解
607,予人
608,事
609,事件
610,事先
611,事列
612,事務
613,事業
614,事項
615,二
616,二十
617,二天
618,二層
619,二手
620,二期
621,二樓
622,二次
623,二段
624,二館則
625,互動
626,互動性
627,五大
628,五彩
629,五星
630,五月
631,五色
632,五處
633,五角
634,五角形
635,五間
636,井
637,些
638,亞洲
639,亞熱帶
640,亞種
641,交替
642,交會
643,交會處
644,交流
645,交界
646,交織
647,交通
648,交通工具
649,交通流量
650,交錯
651,交際
652,交響
653,交響樂
654,亦
655,亦可
656,享受
657,享有
658,享用
659,亭子
660,亮
661,亮眼
662,亮點
663,人
664,人人
665,人來
666,人們
667,人口
668,人員
669,人員及
670,人員至
671,人地
672,人定
673,人家
674,人工
675,人平時
676,人心
677,人擠
678,人文
679,人民
680,人氣
681,人氣炸
682,人潮
683,人煙罕
684,人物
685,人稱
686,人群
687,人行道
688,人誤
689,人類
690,人體
691,仁
692,仁步
693,仁海灘
694,仁溪
695,今
696,今來
697,今年
698,今日
699,今許
700,介壽
701,介紹
702,介紹東
703,介紹秀
704,仍
705,仍然
706,仍能
707,仔細
708,他
709,他們
710,仙人掌
711,仙境
712,代步
713,代表
714,代表性
715,令人
716,以
717,以上
718,以下
719,以來
720,以免
721,以初
722,以利
723,以刺
724,以前
725,以北
726,以南
727,以及
728,以外
729,以小膠
730,以往
731,以東大門
732,以榕
733,以港
734,以熱帶
735,以確
736,以種
737,以立
738,以繽紛
739,以罕見
740,以花蓮
741,以貨櫃
742,以車
743,以輕
744,以金針
745,以長
746,以防
747,仰望
748,任
749,任一
750,任何
751,任務
752,任選
753,份
754,仿
755,企劃
756,伏流
757,伏虎
758,伐木
759,伐木工人
760,休
761,休息
762,休憩
763,休耕
764,休閒
765,休養
766,伴
767,伴手
768,伴著林間
769,伸
770,似向
771,似的
772,但
773,但園區
774,但是
775,但甫
776,佇留
777,佇立
778,佈
779,位
780,位置
781,位處
782,低
783,低密度
784,低底
785,低矮
786,低碳
787,低訴
788,低飛
789,住
790,住宅
791,住家
792,住宿
793,住民
794,佐
795,佐倉
796,佔
797,佔地
798,何留
799,佛興寺
800,作
801,作出
802,作品
803,作文
804,作業
805,作為
806,作物
807,作用
808,作者
809,你
810,佳心
811,佳景
812,佳餚
813,併
814,使
815,使得
816,使民眾
817,使用
818,使遊客
819,來
820,來划
821,來往
822,來此
823,來訪
824,來試
825,來電
826,侍衛墓園
827,供
828,供人
829,供應
830,供民眾
831,供遊
832,供遊客
833,依
834,依山
835,依山傍水
836,依山傍海
837,依序
838,依憑
839,依指標
840,依據
841,依此
842,依然
843,依照
844,依舊
845,依著
846,侵蝕
847,便
848,便利
849,便是
850,便會
851,便民
852,便道
853,係
854,促成
855,促進
856,俏皮
857,俐落
858,俗稱
859,保
860,保公園
861,保存
862,保密
863,保持平衡
864,保持良好
865,保有
866,保留
867,保育
868,保證
869,保護
870,保護區
871,保障
872,信仰
873,信義鄉
874,修
875,修建
876,修整
877,修築
878,修院
879,俯瞰
880,俯覽
881,俱
882,倉庫
883,倉步
884,個
885,個區
886,們
887,倒影
888,倒映
889,倒映在
890,倘佯
891,候還
892,倚
893,借
894,值得
895,值得一提的是
896,假日
897,假期
898,偉士牌
899,偏遠
900,偏鄉
901,做
902,做個
903,做好
904,做成
905,停
906,停下
907,停止
908,停產
909,停用
910,停留
911,停車
912,停車位
913,停車場
914,健
915,健康
916,健行
917,健身
918,健體
919,側
920,偶有
921,偶爾
922,偶爾可停
923,偶爾可見
924,偶爾有
925,偷
926,偷香腸
927,傍晚
928,備好
929,備用
930,催生
931,傲視秀
932,傲踞
933,傳
934,傳來
935,傳承
936,傳教
937,傳真
938,傳統
939,傳說
940,傳達
941,傾
942,傾心
943,傾斜
944,傾洩
945,僅
946,僅剩
947,僅存
948,僅容
949,僅約
950,僅開放
951,像
952,像是
953,像險峻
954,價值
955,億
956,儘
957,優
958,優席夫
959,優美
960,優美多變
961,優良
962,優質
963,優閒
964,優雅
965,儲存
966,元
967,元素
968,充分
969,充實
970,充沛
971,充涼水
972,充滿
973,充滿繽紛
974,充滿芬
975,充足
976,充電
977,充體力
978,兆
979,先
980,先人
981,先來
982,先例
983,先別
984,先生
985,先行
986,先賢
987,先賢們
988,先鋒
989,先鋒們
990,光
991,光亮
992,光影
993,光是
994,光景
995,光會
996,光漁港
997,光潤
998,光澤
999,光照
1000,光產業
1001,光看
1002,光糖廠
1003,光華
1004,光豐
1005,光隆
1006,免費
1007,免費接
1008,兒童戲
1009,兔
1010,兔子
1011,入冬
1012,入口
1013,入園
1014,入園證
1015,入場
1016,入海
1017,入社
1018,入秋
1019,入鏡
1020,入館
1021,內
1022,內僅
1023,內免
1024,內容
1025,內岩層
1026,內政部定
1027,內有
1028,內涵
1029,內種
1030,內綠草
1031,內能
1032,內裡
1033,內設
1034,內路
1035,內還
1036,內部
1037,內陸
1038,全
1039,全世界
1040,全力
1041,全區
1042,全台
1043,全台灣
1044,全國
1045,全天
1046,全家
1047,全年
1048,全新
1049,全是
1050,全景
1051,全檜木
1052,全消
1053,全球
1054,全盛
1055,全程
1056,全線
1057,全花蓮縣
1058,全覽
1059,全身
1060,全部
1061,全長
1062,全面
1063,全額
1064,全體
1065,兩
1066,兩個
1067,兩側
1068,兩季還
1069,兩層
1070,兩岸
1071,兩座
1072,兩旁
1073,兩根
1074,兩條
1075,兩棵
1076,兩橫
1077,兩民眾
1078,兩潭
1079,兩種
1080,兩者
1081,兩色界線
1082,兩處
1083,兩部
1084,八
1085,八七
1086,八仙洞
1087,八個
1088,八利山
1089,八大
1090,八年
1091,八景
1092,八根
1093,八爪
1094,八螺
1095,八螺疊翠
1096,八通
1097,八里
1098,公
1099,公休日
1100,公共
1101,公分
1102,公司
1103,公告
1104,公噸
1105,公園
1106,公園步
1107,公室
1108,公尺
1109,公山
1110,公廁
1111,公所
1112,公斤
1113,公路
1114,公車
1115,公里
1116,公雞
1117,公頃
1118,六十
1119,六十六
1120,六字
1121,六月
1122,六期
1123,六角
1124,六零
1125,共
1126,共同
1127,共同努力
1128,共同性
1129,共和
1130,共存
1131,共度
1132,共有
1133,共生
1134,共興建
1135,共設
1136,共鳴
1137,兵事部
1138,兵民
1139,其
1140,其下
1141,其中
1142,其他
1143,其名
1144,其外
1145,其實
1146,其泉質
1147,其發音
1148,其趣
1149,其間
1150,具
1151,具備
1152,具文
1153,具有
1154,具療
1155,具觀光
1156,典藏
1157,典雅
1158,兼具
1159,兼遊客
1160,再
1161,再往
1162,再次
1163,再用
1164,再行
1165,冒
1166,冠羽
1167,冬去
1168,冬陽午
1169,冰品
1170,冰店
1171,冰涼
1172,冰淇淋
1173,冰糖
1174,冷
1175,凌空
1176,凹凸不平
1177,凹谷
1178,出
1179,出兒
1180,出入口
1181,出動
1182,出口
1183,出夢幻
1184,出層
1185,出張
1186,出悠閒
1187,出新
1188,出步
1189,出水口
1190,出海
1191,出海口
1192,出港
1193,出現
1194,出發
1195,出籠
1196,出粉
1197,出自
1198,出身
1199,出遊
1200,分
1201,分公司
1202,分別
1203,分別位
1204,分布
1205,分成
1206,分明
1207,分機
1208,分水
1209,分為
1210,分界
1211,分路
1212,分辨
1213,分鐘
1214,分隔
1215,切勿
1216,切成
1217,切穿
1218,划槳
1219,划獨
1220,列
1221,列入
1222,列林間
1223,列為
1224,列車
1225,列館
1226,初
1227,初秋
1228,初英
1229,初英親
1230,初衷
1231,別
1232,別具
1233,別出
1234,別有
1235,別樣
1236,別館
1237,刨冰
1238,刨片
1239,利用
1240,利用光
1241,到
1242,到位
1243,到峽
1244,到底
1245,到海
1246,到湛
1247,到羅山遊
1248,到芬
1249,制
1250,制度
1251,制高點
1252,刷
1253,刺激
1254,刺眼
1255,刺蔥
1256,刻
1257,則
1258,則不
1259,則以
1260,則位
1261,則依遊客
1262,則可見
1263,則呈現
1264,則成
1265,則採用
1266,則是
1267,則有
1268,則須
1269,則飛舞
1270,前
1271,前人
1272,前來
1273,前半段
1274,前可先
1275,前往
1276,前後約
1277,前應
1278,前方
1279,前景
1280,前段
1281,前由斷
1282,前者
1283,前行
1284,前身
1285,前進
1286,剔透
1287,剛味
1288,剩幾座
1289,副
1290,創
1291,創作
1292,創意
1293,創新
1294,創產業
1295,創等
1296,創造
1297,劃下
1298,劇場
1299,功成身退
1300,功效
1301,功能
1302,加上
1303,加以
1304,加倍
1305,加入
1306,加固
1307,加工
1308,加立
1309,加裝定
1310,努力
1311,勁舞
1312,勇士
1313,動
1314,動場域
1315,動態
1316,動手
1317,動物
1318,動物們
1319,務
1320,務局
1321,勝地
1322,勝天
1323,勿
1324,包含
1325,包括
1326,包裝
1327,化樹種
1328,化石
1329,北
1330,北上
1331,北側
1332,北兩個
1333,北口
1334,北回
1335,北埔
1336,北岸
1337,北方
1338,北濱
1339,北濱段
1340,北環
1341,北界
1342,北端
1343,北線
1344,北親
1345,北路
1346,北遊客
1347,北邊
1348,匯
1349,匯德
1350,匯德步
1351,匯集
1352,匾題
1353,區
1354,區不僅
1355,區中
1356,區內
1357,區及
1358,區域
1359,區往
1360,區整體
1361,區時
1362,區有
1363,區望
1364,區的
1365,區範圍
1366,區約
1367,區補
1368,區隔
1369,十九年
1370,十分
1371,十大
1372,十幾格
1373,十景
1374,十足
1375,千噸
1376,千山
1377,千年
1378,千紫嫣紅
1379,千辛萬苦
1380,升旗
1381,升至
1382,升起
1383,午
1384,午後則
1385,午後時
1386,半
1387,半小時
1388,半成品
1389,半段
1390,卓溪
1391,協助
1392,南
1393,南下
1394,南側
1395,南北
1396,南區
1397,南國家
1398,南園區
1399,南安
1400,南山
1401,南投
1402,南方
1403,南望
1404,南村
1405,南段
1406,南溪
1407,南濱
1408,南濱段
1409,南濱路
1410,南端
1411,南華村
1412,南行
1413,南距
1414,南路
1415,南轉
1416,南遠眺
1417,南邊
1418,博物
1419,占地
1420,卡
1421,卡位
1422,卡倫
1423,卡倫步
1424,卡品種
1425,印記
1426,印象
1427,危險
1428,即
1429,即以
1430,即來
1431,即便
1432,即化
1433,即可
1434,即將
1435,即錐麓
1436,卵石
1437,卻
1438,卻略顯
1439,原
1440,原住民
1441,原來
1442,原先
1443,原名
1444,原因
1445,原址
1446,原始
1447,原屬
1448,原意
1449,原料
1450,原是
1451,原有
1452,原木
1453,原本
1454,原民
1455,原民藝術
1456,原民風味餐
1457,原民風情
1458,原民風采
1459,原為
1460,原為僅
1461,原生植物
1462,原色
1463,原路
1464,原長
1465,去
1466,去程
1467,參天
1468,參拜
1469,參拜階梯
1470,參考
1471,參與
1472,參觀
1473,又
1474,又名
1475,叉
1476,及
1477,及亞
1478,及動
1479,及史
1480,及大禮
1481,及婦
1482,及導
1483,及棟
1484,及海灘
1485,及海蝕
1486,及玉長
1487,及產業
1488,及章
1489,及綠片
1490,及育
1491,及蛇類
1492,及解
1493,及錦文橋
1494,友善
1495,反共
1496,反差
1497,取其名
1498,取景
1499,取水
1500,取而代之
1501,取自
1502,取諧
1503,受
1504,受到
1505,受遊客
1506,受限制
1507,叢生
1508,口
1509,口味
1510,口福
1511,口至
1512,口至佳心
1513,口香糖
1514,古
1515,古今
1516,古代
1517,古到
1518,古厝
1519,古大戲院
1520,古屋
1521,古意
1522,古感
1523,古木
1524,古氛
1525,古海報
1526,古老
1527,古色古香
1528,古道
1529,古銅蘭溪
1530,古風
1531,古高聳
1532,句點
1533,另
1534,另一面
1535,另外
1536,另架
1537,另種
1538,另設
1539,只
1540,只是
1541,只有
1542,只要
1543,只開
1544,叫
1545,叫作
1546,可
1547,可上
1548,可以
1549,可來
1550,可供
1551,可分
1552,可到
1553,可在馬場
1554,可容納
1555,可將
1556,可想
1557,可愛動
1558,可愛又
1559,可愛海獅
1560,可愛的
1561,可愛的魚
1562,可愛美麗
1563,可是
1564,可欣賞
1565,可滋養
1566,可發
1567,可看
1568,可約
1569,可經
1570,可繼續
1571,可至
1572,可見
1573,可見動
1574,可親
1575,可觀
1576,可觀賞
1577,可說
1578,可貴
1579,可賞
1580,可購
1581,可辨
1582,可通
1583,可遊憩
1584,可遠眺
1585,可選擇
1586,可電話
1587,可飽覽
1588,可體驗
1589,台
1590,台下
1591,台九線
1592,台則
1593,台地
1594,台泥
1595,台灣
1596,台灣北
1597,台灣島
1598,台灣林業
1599,台灣玉
1600,台灣葉
1601,台糖
1602,台肥
1603,台鐵東部
1604,台開心
1605,台電
1606,台風景
1607,史
1608,史前
1609,右
1610,右側
1611,右轉
1612,右邊
1613,吃
1614,吃海鮮
1615,各個
1616,各具
1617,各區
1618,各地
1619,各大
1620,各小學
1621,各年齡
1622,各式
1623,各有
1624,各有特色
1625,各林班
1626,各樣
1627,各異
1628,各省
1629,各種
1630,各色
1631,各處
1632,各項
1633,合一
1634,合作
1635,合影
1636,合歡
1637,合歡山
1638,合流
1639,合而為
1640,吉
1641,吉安
1642,吉安市
1643,吉拉
1644,吉野
1645,吊
1646,吊橋
1647,吊橋富
1648,同時
1649,同條
1650,同樂
1651,同樂遊
1652,同樣
1653,同步
1654,同行
1655,同遊
1656,名列
1657,名命
1658,名品
1659,名字
1660,名店
1661,名氣
1662,名為
1663,名稱
1664,名符
1665,向
1666,向上
1667,向前
1668,向榮
1669,向源
1670,吧
1671,含
1672,含有
1673,含水
1674,吳
1675,吸引
1676,吸收
1677,吸煙
1678,吸睛
1679,吹
1680,吹來
1681,吹拂
1682,吹海風
1683,吼海
1684,呈
1685,呈現
1686,告
1687,告捕
1688,告知
1689,呢
1690,周圍
1691,周遭
1692,周邊
1693,味
1694,味蕾
1695,呼吸
1696,呼庭
1697,呼應
1698,命名
1699,和
1700,和平
1701,咖啡
1702,咖啡店
1703,咖啡豆
1704,品
1705,品味
1706,品嘗鮮
1707,品嚐
1708,品牌
1709,哈拉
1710,哈比人
1711,哦
1712,哨
1713,哨所
1714,哨角
1715,哪
1716,哪裡
1717,售票
1718,唯
1719,唯一
1720,唯美
1721,唱歌
1722,啃得
1723,商品
1724,商圈
1725,商店
1726,問站
1727,問題
1728,啟用
1729,喀西帕南
1730,喔
1731,喜
1732,喜好
1733,喜愛
1734,喜愛的
1735,喜歡
1736,喜連連
1737,喝
1738,喝到
1739,喝杯
1740,喝酒
1741,喧囂
1742,單
1743,單中
1744,單向
1745,單程
1746,單車
1747,單車客
1748,單車者
1749,單面
1750,嗎
1751,嘆
1752,嘉年華
1753,嘉義
1754,嘉義縣
1755,嘉農溪
1756,嘗試
1757,嘴及
1758,器具
1759,噴泥
1760,噴泥池
1761,噴泥盆
1762,噴泥盾
1763,噴發出
1764,噶瑪蘭人
1765,噶瑪蘭語
1766,嚴重
1767,嚼
1768,四
1769,四八
1770,四周
1771,四季
1772,四小時
1773,四百
1774,四象
1775,四週
1776,四面
1777,回到
1778,回去
1779,回憶
1780,回暖
1781,回歸
1782,回歸線
1783,回盤
1784,回程
1785,回花蓮
1786,回顧
1787,因
1788,因位
1789,因佐倉
1790,因原
1791,因品
1792,因季節
1793,因峽谷
1794,因有
1795,因此
1796,因步
1797,因歲
1798,因為
1799,因當
1800,因素
1801,因而
1802,因遊客
1803,因過
1804,因長
1805,因陽光
1806,因風災
1807,固兒
1808,固定
1809,國
1810,國中
1811,國內
1812,國家
1813,國家級
1814,國小旁
1815,國旗
1816,國旗屋
1817,國民
1818,國產鮮奶
1819,國防
1820,國際
1821,國際港
1822,國際級
1823,圍
1824,圍牆
1825,圍繞
1826,園
1827,園內
1828,園區
1829,園區步
1830,園區裡
1831,圓環
1832,圖
1833,圖形
1834,圖文
1835,圖文介紹
1836,圖案
1837,圖案將
1838,圖片
1839,圖騰
1840,團錦簇
1841,土地
1842,土壤
1843,土徑
1844,在
1845,在裡
1846,在賞
1847,圮
1848,地
1849,地上
1850,地人
1851,地供
1852,地勢
1853,地北側
1854,地區
1855,地原
1856,地名
1857,地圖
1858,地址
1859,地夥伴
1860,地層
1861,地平線
1862,地底
1863,地形
1864,地文
1865,地方
1866,地景
1867,地板
1868,地標
1869,地欣賞
1870,地步
1871,地段
1872,地民眾
1873,地球
1874,地理
1875,地理位置
1876,地發
1877,地種
1878,地耕味
1879,地貌
1880,地質
1881,地質史
1882,地道
1883,地遠
1884,地鄉
1885,地闢
1886,地面
1887,地點
1888,地點位
1889,均
1890,坐
1891,坐在
1892,坐落
1893,坑
1894,坑道
1895,坡
1896,坡地
1897,坡度
1898,坡道
1899,坪
1900,坪位
1901,垂
1902,垂直
1903,垃圾
1904,型
1905,城堡
1906,城市
1907,埤
1908,培育
1909,基
1910,基地
1911,基督教
1912,基里
1913,基點
1914,堅
1915,堅固
1916,堅持
1917,堅硬
1918,堆放
1919,堆疊
1920,堆砌
1921,堆積
1922,堰塞湖
1923,報到
1924,報導
1925,場
1926,場區植
1927,場域
1928,場所
1929,場景
1930,場等
1931,場遊
1932,場電影
1933,場館
1934,堵塞
1935,塊
1936,塑成
1937,塑造
1938,塔
1939,塔旁
1940,塔次
1941,塗抹
1942,塘
1943,填
1944,塱
1945,境過
1946,增
1947,增加
1948,增添
1949,增長
1950,壁峽
1951,壁畫
1952,壘
1953,壞
1954,壩
1955,壯
1956,壯觀
1957,壯闊
1958,壯麗
1959,壺穴
1960,壽
1961,壽豐
1962,壽豐鄉
1963,夏
1964,夏天
1965,夏季
1966,夏日
1967,夏爾村
1968,夏至
1969,外
1970,外傷
1971,外地
1972,外型
1973,外教
1974,外牆
1975,外界
1976,外移
1977,外納涼
1978,外觀
1979,外貌
1980,多
1981,多元
1982,多元化
1983,多充
